"UF","Sexo","Idade","Cor","Anos.de.Estudo","Renda","Altura"
"Rondônia",0,39,2,14,4000,1.51
"Rondônia",0,33,2,16,2500,1.62
"Rondônia",1,49,8,6,788,1.7
"Rondônia",0,37,2,12,2000,1.57
"Rondônia",0,35,4,12,788,1.57
"Rondônia",1,55,8,9,380,1.89
"Rondônia",0,24,8,12,836,1.67
"Rondônia",0,34,8,15,1250,1.71
"Rondônia",0,27,2,12,1325,1.61
"Rondônia",0,50,2,8,1550,1.79
"Rondônia",0,53,6,8,1800,1.61
"Rondônia",0,67,4,1,1500,1.76
"Rondônia",0,52,2,12,20000,1.64
"Rondônia",0,42,8,5,3000,1.74
"Rondônia",1,66,2,1,1600,1.83
"Rondônia",0,47,2,4,788,1.74
"Rondônia",0,60,8,9,1400,1.72
"Rondônia",0,29,2,11,580,1.68
"Rondônia",0,55,2,5,1500,1.73
"Rondônia",0,55,2,5,1000,1.77
"Rondônia",0,56,2,5,100,1.73
"Rondônia",0,69,2,9,0,1.61
"Rondônia",0,51,2,4,1000,1.62
"Rondônia",1,25,8,12,390,1.63
"Rondônia",0,49,8,3,788,1.73
"Rondônia",0,61,4,4,1800,1.54
"Rondônia",1,54,8,1,400,1.74
"Rondônia",0,37,8,7,1500,1.65
"Rondônia",0,39,2,9,2000,1.67
"Rondônia",0,52,2,5,350,1.78
"Rondônia",0,48,2,2,1600,1.72
"Rondônia",0,40,8,8,1600,1.51
"Rondônia",0,73,2,1,1000,1.55
"Rondônia",0,49,2,3,788,1.72
"Rondônia",0,45,8,16,3000,1.74
"Rondônia",0,80,2,5,2000,1.67
"Rondônia",0,45,8,12,10000,1.75
"Rondônia",1,34,4,16,900,1.78
"Rondônia",0,65,2,7,6000,1.84
"Rondônia",1,23,2,15,1600,1.73
"Rondônia",0,52,2,12,1300,1.72
"Rondônia",1,32,8,12,1400,1.56
"Rondônia",1,36,8,12,1400,1.73
"Rondônia",0,28,2,16,3500,1.59
"Rondônia",0,48,2,12,2500,1.64
"Rondônia",0,36,8,12,1700,1.65
"Rondônia",0,48,2,9,4500,1.73
"Rondônia",1,42,2,12,1700,1.63
"Rondônia",1,46,2,12,4124,1.72
"Rondônia",1,51,8,12,1500,1.59
"Rondônia",0,26,8,12,1200,1.73
"Rondônia",0,25,8,13,1000,1.87
"Rondônia",0,27,8,12,1200,1.76
"Rondônia",0,28,8,12,1600,1.58
"Rondônia",1,37,8,11,950,1.71
"Rondônia",0,26,8,11,1500,1.67
"Rondônia",0,27,8,11,1500,1.69
"Rondônia",0,41,8,16,4000,1.71
"Rondônia",0,49,2,6,900,1.77
"Rondônia",0,32,8,16,6000,1.73
"Rondônia",0,41,4,1,3000,1.78
"Rondônia",0,30,2,16,6000,1.74
"Rondônia",0,79,2,12,0,1.79
"Rondônia",0,52,8,15,2200,1.79
"Rondônia",0,36,2,12,2000,1.64
"Rondônia",0,35,8,16,4000,1.74
"Rondônia",0,50,8,1,1000,1.74
"Rondônia",0,53,8,1,1400,1.55
"Rondônia",1,32,8,5,788,1.77
"Rondônia",1,36,2,9,788,1.68
"Rondônia",0,52,4,9,1700,1.68
"Rondônia",0,55,8,1,1000,1.73
"Rondônia",0,42,2,16,3000,1.72
"Rondônia",0,35,8,5,1500,1.68
"Rondônia",0,71,2,6,1100,1.74
"Rondônia",0,31,4,1,1000,1.76
"Rondônia",1,43,8,12,1100,1.72
"Rondônia",0,51,8,9,1200,1.66
"Rondônia",0,37,8,9,2580,1.65
"Rondônia",0,38,8,17,1900,1.71
"Rondônia",1,35,8,16,2150,1.68
"Rondônia",0,26,2,12,1800,1.74
"Rondônia",1,50,8,6,300,1.68
"Rondônia",0,59,8,5,1300,1.69
"Rondônia",0,25,8,12,788,1.71
"Rondônia",1,42,2,16,2800,1.73
"Rondônia",0,41,8,5,1440,1.66
"Rondônia",0,38,8,5,850,1.71
"Rondônia",1,36,2,16,9000,1.72
"Rondônia",0,32,8,15,7800,1.73
"Rondônia",0,45,8,5,1200,1.61
"Rondônia",1,26,2,11,1500,1.66
"Rondônia",1,28,2,12,3000,1.67
"Rondônia",0,29,8,6,400,1.65
"Rondônia",1,30,8,7,550,1.84
"Rondônia",1,36,8,12,1200,1.74
"Rondônia",0,25,8,12,1500,1.74
"Rondônia",0,26,8,6,1100,1.76
"Rondônia",1,44,8,6,900,1.62
"Rondônia",1,19,2,12,2300,1.8
"Rondônia",0,34,6,16,8000,1.65
"Rondônia",0,36,8,13,1400,1.81
"Rondônia",1,36,8,16,5000,1.65
"Rondônia",0,39,2,3,2500,1.66
"Rondônia",0,32,8,12,1490,1.83
"Rondônia",0,57,8,3,2300,1.75
"Rondônia",1,28,2,5,430,1.74
"Rondônia",0,28,2,9,400,1.64
"Rondônia",1,36,8,12,300,1.75
"Rondônia",0,46,8,10,160,1.7
"Rondônia",0,49,2,16,900,1.59
"Rondônia",0,39,8,4,688,1.84
"Rondônia",0,49,2,9,400,1.65
"Rondônia",0,55,2,3,1000,1.82
"Rondônia",0,60,8,9,0,1.72
"Rondônia",0,55,8,9,8000,1.84
"Rondônia",1,22,2,16,805,1.82
"Rondônia",0,42,8,12,6000,1.74
"Rondônia",0,35,2,16,2000,1.61
"Rondônia",0,38,8,12,850,1.78
"Rondônia",0,29,2,16,5200,1.61
"Rondônia",0,66,4,2,789,1.71
"Rondônia",0,48,2,1,2000,1.61
"Rondônia",0,34,8,16,5000,1.67
"Rondônia",1,49,8,12,400,1.61
"Rondônia",0,49,2,9,1800,1.56
"Rondônia",0,62,2,12,4000,1.71
"Rondônia",0,28,4,12,1000,1.75
"Rondônia",1,32,8,6,200,1.61
"Rondônia",0,41,2,1,250,1.81
"Rondônia",0,52,8,3,800,1.73
"Rondônia",0,43,8,12,1600,1.76
"Rondônia",0,39,2,8,800,1.68
"Rondônia",0,37,8,6,1600,1.73
"Rondônia",0,67,8,1,1000,1.64
"Rondônia",0,54,2,5,2500,1.74
"Rondônia",0,77,8,1,250,1.79
"Rondônia",0,64,8,4,1000,1.72
"Rondônia",0,58,2,1,10000,1.72
"Rondônia",0,57,8,3,1200,1.8
"Rondônia",0,43,8,13,1200,1.78
"Rondônia",0,64,8,5,3000,1.71
"Rondônia",0,52,2,7,1200,1.73
"Rondônia",0,52,8,1,2500,1.75
"Rondônia",1,26,8,15,1000,1.82
"Rondônia",0,41,2,12,2700,1.71
"Rondônia",0,24,8,16,1300,1.77
"Rondônia",1,31,8,6,500,1.76
"Rondônia",1,29,2,14,1000,1.71
"Rondônia",0,41,8,5,1500,1.76
"Rondônia",0,44,8,6,1900,1.63
"Rondônia",1,38,2,7,1300,1.72
"Rondônia",1,62,8,10,300,1.62
"Rondônia",0,59,2,1,788,1.78
"Rondônia",1,60,2,3,788,1.71
"Rondônia",0,48,2,5,2500,1.74
"Rondônia",0,56,2,2,788,1.72
"Rondônia",1,32,2,9,1020,1.62
"Rondônia",1,43,8,1,600,1.61
"Rondônia",1,26,8,12,1920,1.72
"Rondônia",0,57,4,5,1500,1.73
"Rondônia",0,39,8,1,788,1.59
"Rondônia",0,45,2,12,1000,1.79
"Rondônia",0,51,8,2,2500,1.72
"Rondônia",0,34,2,12,789,1.84
"Rondônia",1,40,4,7,830,1.63
"Rondônia",1,36,2,12,1000,1.53
"Rondônia",0,55,8,7,1800,1.76
"Rondônia",0,49,2,8,2300,1.84
"Rondônia",0,39,8,12,800,1.67
"Rondônia",1,39,8,6,788,1.64
"Rondônia",1,38,4,16,1200,1.7
"Rondônia",1,17,2,11,230,1.84
"Rondônia",0,51,2,16,2364,1.62
"Rondônia",1,56,2,7,500,1.61
"Rondônia",1,45,8,1,1800,1.71
"Rondônia",0,57,2,3,3650,1.64
"Rondônia",0,69,2,1,850,1.7
"Rondônia",1,38,8,5,0,1.73
"Rondônia",0,31,2,9,2000,1.53
"Rondônia",0,54,8,1,1500,1.79
"Rondônia",0,41,2,5,700,1.79
"Rondônia",0,43,2,4,750,1.61
"Rondônia",0,40,2,5,800,1.7
"Rondônia",0,39,8,1,1200,1.66
"Rondônia",0,42,2,4,1400,1.73
"Rondônia",0,58,8,1,750,1.65
"Rondônia",1,23,8,9,300,1.82
"Rondônia",1,43,8,10,788,1.53
"Rondônia",0,38,8,6,400,1.84
"Rondônia",0,38,2,16,400,1.75
"Rondônia",1,38,4,6,788,1.7
"Rondônia",0,37,8,1,788,1.59
"Rondônia",1,59,8,4,1500,1.53
"Rondônia",0,50,8,7,1500,1.68
"Rondônia",0,31,2,16,3000,1.72
"Rondônia",0,44,8,12,1400,1.78
"Rondônia",0,27,8,12,1000,1.63
"Rondônia",1,36,8,12,800,1.88
"Rondônia",0,37,8,7,800,1.73
"Rondônia",0,49,8,12,700,1.86
"Rondônia",0,55,8,8,900,1.73
"Rondônia",0,37,4,9,788,1.81
"Rondônia",1,52,8,12,788,1.55
"Rondônia",1,38,8,1,400,1.78
"Rondônia",1,66,8,16,2000,1.73
"Rondônia",0,63,2,12,3000,1.85
"Rondônia",1,31,8,15,300,1.77
"Rondônia",1,49,8,12,1300,1.79
"Rondônia",0,46,2,6,1200,1.72
"Rondônia",0,45,8,8,1500,1.78
"Rondônia",1,33,4,10,200,1.73
"Rondônia",0,58,4,8,1600,1.67
"Rondônia",0,54,8,3,1200,1.55
"Rondônia",0,72,8,1,1500,1.73
"Rondônia",0,70,8,1,400,1.6
"Rondônia",0,50,8,6,350,1.74
"Rondônia",0,64,2,5,2400,1.75
"Rondônia",0,61,8,5,0,1.6
"Rondônia",0,53,8,1,788,1.84
"Rondônia",0,38,8,6,800,1.65
"Rondônia",0,72,8,1,0,1.66
"Rondônia",0,22,2,8,1100,1.78
"Rondônia",0,50,2,13,2500,1.93
"Rondônia",0,49,8,2,0,1.8
"Rondônia",0,41,2,16,2000,1.68
"Rondônia",0,31,2,14,3000,1.73
"Rondônia",0,44,2,16,5000,1.75
"Rondônia",0,41,2,16,3500,1.58
"Rondônia",0,42,8,9,3500,1.56
"Rondônia",0,18,8,10,800,1.69
"Rondônia",0,41,4,5,800,1.72
"Rondônia",1,23,8,14,850,1.79
"Rondônia",0,37,8,9,850,1.69
"Rondônia",1,47,2,17,788,1.81
"Rondônia",0,19,8,9,1500,1.65
"Rondônia",0,35,8,9,1000,1.58
"Rondônia",0,33,8,12,1200,1.74
"Rondônia",1,34,8,10,800,1.62
"Rondônia",0,36,8,6,2000,1.62
"Rondônia",1,38,2,8,1000,1.69
"Rondônia",1,33,8,16,2000,1.61
"Rondônia",0,58,8,1,800,1.6
"Rondônia",1,46,8,9,788,1.8
"Rondônia",0,56,8,4,1300,1.62
"Rondônia",0,34,8,12,2500,1.67
"Rondônia",0,28,8,6,1000,1.8
"Rondônia",0,27,8,12,3500,1.68
"Rondônia",0,28,8,4,800,1.67
"Rondônia",0,22,2,9,788,1.75
"Rondônia",0,44,4,9,1500,1.72
"Rondônia",0,32,8,9,1600,1.72
"Rondônia",0,36,8,8,1700,1.85
"Rondônia",0,39,8,7,2000,1.74
"Rondônia",0,45,8,16,1000,1.84
"Rondônia",1,39,4,9,100,1.73
"Rondônia",1,21,2,9,788,1.74
"Rondônia",0,26,8,12,1400,1.64
"Rondônia",0,44,8,16,1200,1.72
"Rondônia",0,40,8,5,1500,1.5
"Rondônia",0,57,2,5,1300,1.68
"Rondônia",0,40,4,8,600,1.65
"Rondônia",0,41,8,6,900,1.73
"Rondônia",0,44,2,4,1200,1.66
"Rondônia",0,40,8,5,2000,1.75
"Rondônia",0,44,8,12,900,1.79
"Rondônia",0,51,8,1,2000,1.75
"Rondônia",0,35,8,4,900,1.67
"Rondônia",0,22,8,1,788,1.65
"Rondônia",0,44,8,4,900,1.61
"Rondônia",0,31,8,9,1500,1.69
"Rondônia",0,22,8,12,788,1.57
"Rondônia",0,61,2,16,10000,1.62
"Rondônia",1,26,8,10,788,1.78
"Rondônia",0,56,8,12,2800,1.86
"Rondônia",0,53,8,9,788,1.64
"Rondônia",0,37,8,1,788,1.75
"Rondônia",0,24,2,11,2000,1.7
"Rondônia",1,34,2,12,789,1.78
"Rondônia",0,25,8,14,1500,1.69
"Rondônia",1,40,2,14,2800,1.72
"Rondônia",0,63,8,9,3000,1.66
"Rondônia",0,36,8,12,1200,1.78
"Rondônia",1,32,8,13,2000,1.6
"Rondônia",0,50,2,9,1000,1.75
"Rondônia",0,47,8,7,2500,1.74
"Rondônia",1,45,8,16,1150,1.74
"Rondônia",0,36,2,5,2000,1.71
"Rondônia",0,46,2,9,5000,1.79
"Rondônia",0,47,2,12,3000,1.79
"Rondônia",0,56,2,16,8000,1.71
"Rondônia",0,46,8,6,1200,1.67
"Rondônia",0,47,8,12,2500,1.69
"Rondônia",0,52,8,9,10000,1.73
"Rondônia",1,23,8,7,788,1.71
"Rondônia",0,38,4,12,2400,1.78
"Rondônia",0,52,2,9,3000,1.64
"Rondônia",0,29,8,16,1900,1.8
"Rondônia",0,40,8,16,7500,1.74
"Rondônia",0,58,8,12,3310,1.72
"Rondônia",0,28,8,5,900,1.58
"Rondônia",0,52,8,1,800,1.73
"Rondônia",0,38,8,6,3500,1.69
"Rondônia",0,22,8,12,1000,1.68
"Rondônia",0,49,2,5,8500,1.71
"Rondônia",1,59,8,5,250,1.58
"Rondônia",0,42,2,2,950,1.73
"Rondônia",0,40,8,4,1300,1.83
"Rondônia",0,20,8,9,1500,1.66
"Rondônia",1,58,8,16,2000,1.78
"Rondônia",0,51,8,12,7000,1.65
"Rondônia",0,62,8,12,6000,1.77
"Rondônia",0,36,2,12,3400,1.74
"Rondônia",1,46,2,12,788,1.65
"Rondônia",0,54,8,12,1200,1.74
"Rondônia",1,51,8,12,780,1.73
"Rondônia",0,37,2,12,788,1.73
"Rondônia",0,22,8,11,2000,1.75
"Rondônia",0,21,8,7,1400,1.67
"Rondônia",0,47,8,16,1800,1.57
"Rondônia",1,38,8,6,900,1.68
"Rondônia",0,69,2,1,1182,1.68
"Rondônia",0,68,8,1,600,1.73
"Rondônia",0,57,8,16,4200,1.72
"Rondônia",1,36,4,12,788,1.63
"Rondônia",1,47,8,13,150,1.5
"Rondônia",0,59,2,13,4000,1.82
"Rondônia",0,53,8,16,7000,1.79
"Rondônia",1,46,2,16,1700,1.63
"Rondônia",1,59,2,9,80,1.84
"Rondônia",0,44,8,12,800,1.64
"Rondônia",0,29,8,12,1000,1.85
"Rondônia",1,50,8,6,2000,1.74
"Rondônia",1,54,4,5,788,1.58
"Rondônia",1,47,8,5,870,1.63
"Rondônia",0,33,8,7,1200,1.66
"Rondônia",0,63,8,1,200,1.74
"Rondônia",1,37,8,11,1100,1.8
"Rondônia",0,61,4,5,1000,1.82
"Rondônia",0,42,2,9,2000,1.67
"Rondônia",1,34,8,10,200,1.7
"Rondônia",0,37,4,16,4300,1.76
"Rondônia",0,39,2,12,2000,1.57
"Rondônia",0,36,8,4,1200,1.67
"Rondônia",0,56,8,2,1070,1.63
"Rondônia",0,59,2,6,1000,1.83
"Rondônia",0,46,2,9,800,1.78
"Rondônia",0,48,2,16,5000,1.75
"Rondônia",0,59,8,1,350,1.69
"Rondônia",0,20,8,8,500,1.72
"Rondônia",0,41,8,10,500,1.69
"Rondônia",0,61,2,1,1100,1.85
"Rondônia",0,27,2,12,1200,1.7
"Rondônia",1,50,8,4,788,1.65
"Rondônia",0,74,2,3,1000,1.58
"Rondônia",1,59,8,9,400,1.49
"Rondônia",0,36,8,4,788,1.76
"Rondônia",0,57,4,5,150,1.54
"Rondônia",0,34,2,9,3000,1.66
"Rondônia",0,40,8,12,1300,1.77
"Rondônia",0,52,8,5,200,1.75
"Rondônia",0,29,8,11,788,1.79
"Rondônia",1,59,4,2,250,1.66
"Rondônia",0,43,8,12,1000,1.72
"Rondônia",0,43,8,6,788,1.69
"Rondônia",1,39,8,9,788,1.66
"Rondônia",0,38,2,12,2000,1.8
"Rondônia",1,27,4,1,600,1.63
"Rondônia",0,36,2,12,600,1.61
"Rondônia",0,56,8,8,4500,1.76
"Rondônia",0,34,4,12,1000,1.8
"Rondônia",0,61,8,3,788,1.8
"Rondônia",0,32,2,9,1400,1.82
"Rondônia",1,53,2,6,500,1.79
"Rondônia",0,59,4,12,0,1.72
"Rondônia",0,57,8,8,350,1.8
"Rondônia",0,38,8,12,920,1.74
"Rondônia",1,35,2,16,2400,1.6
"Rondônia",1,40,2,6,800,1.77
"Rondônia",0,34,8,5,4800,1.76
"Rondônia",0,31,8,12,3000,1.65
"Rondônia",0,34,2,9,1200,1.74
"Rondônia",0,34,8,11,1500,1.52
"Rondônia",0,22,2,8,2500,1.6
"Rondônia",0,64,2,12,1500,1.77
"Rondônia",0,53,2,16,1500,1.73
"Rondônia",0,36,2,12,1500,1.8
"Rondônia",0,29,2,9,1000,1.54
"Rondônia",0,49,2,2,2000,1.74
"Rondônia",0,35,8,9,1300,1.76
"Rondônia",0,21,8,12,1200,1.63
"Rondônia",1,30,8,5,1400,1.64
"Rondônia",0,52,8,5,1000,1.82
"Rondônia",0,37,2,5,1500,1.74
"Rondônia",1,57,8,10,1000,1.74
"Rondônia",0,31,8,15,2500,1.66
"Rondônia",0,58,8,5,200,1.7
"Rondônia",0,34,8,7,1270,1.65
"Rondônia",0,49,8,4,788,1.64
"Rondônia",1,31,2,13,1200,1.8
"Rondônia",1,38,8,9,1500,1.72
"Rondônia",0,27,8,11,45000,1.71
"Rondônia",0,38,8,12,1200,1.47
"Rondônia",0,48,8,9,1100,1.66
"Rondônia",0,44,8,9,150,1.66
"Rondônia",0,54,2,4,500,1.71
"Rondônia",0,60,8,2,1500,1.63
"Rondônia",0,20,2,7,1200,1.84
"Rondônia",0,39,2,5,1500,1.67
"Rondônia",0,51,4,9,2600,1.68
"Rondônia",0,42,8,12,3500,1.63
"Rondônia",0,29,2,16,2400,1.72
"Rondônia",0,58,8,1,100,1.74
"Rondônia",0,35,8,7,750,1.79
"Rondônia",0,34,2,5,900,1.64
"Rondônia",0,65,2,1,5000,1.59
"Rondônia",0,58,8,1,1500,1.73
"Rondônia",0,46,8,11,1000,1.8
"Rondônia",0,48,2,9,5000,1.88
"Rondônia",0,57,2,5,1400,1.63
"Rondônia",0,33,8,1,900,1.84
"Rondônia",0,43,8,4,1500,1.65
"Rondônia",0,43,2,12,1200,1.6
"Rondônia",0,52,8,1,788,1.63
"Rondônia",0,25,8,6,788,1.82
"Rondônia",0,50,2,5,2000,1.94
"Rondônia",0,54,8,9,2000,1.69
"Rondônia",0,50,8,12,2000,1.72
"Rondônia",0,46,2,1,1200,1.81
"Rondônia",1,41,2,9,2000,1.64
"Rondônia",1,44,8,9,788,1.77
"Rondônia",0,46,8,5,1290,1.79
"Rondônia",0,34,8,9,1500,1.69
"Rondônia",0,38,8,16,1200,1.78
"Rondônia",0,39,8,12,2500,1.79
"Rondônia",0,51,8,5,1800,1.63
"Rondônia",1,56,8,5,1000,1.77
"Rondônia",0,55,4,11,2500,1.66
"Rondônia",0,25,8,12,1700,1.73
"Rondônia",1,45,2,16,2790,1.74
"Rondônia",0,50,2,12,4500,1.72
"Rondônia",1,45,8,9,300,1.68
"Rondônia",0,33,8,10,5000,1.55
"Rondônia",1,44,2,9,800,1.7
"Rondônia",1,31,8,12,900,1.77
"Rondônia",0,28,8,6,788,1.72
"Rondônia",1,44,8,12,788,1.69
"Rondônia",0,43,8,14,2500,1.63
"Rondônia",1,63,8,1,788,1.74
"Rondônia",0,43,8,5,788,1.72
"Rondônia",1,32,4,16,3000,1.64
"Rondônia",0,41,8,12,3800,1.65
"Rondônia",0,38,8,3,1250,1.67
"Rondônia",0,51,2,2,7000,1.65
"Rondônia",0,51,2,5,788,1.83
"Rondônia",0,53,8,13,600,1.74
"Rondônia",0,70,2,9,1800,1.73
"Rondônia",0,35,8,9,1400,1.75
"Rondônia",0,24,8,6,800,1.67
"Rondônia",0,24,8,3,788,1.7
"Rondônia",0,31,8,5,1300,1.76
"Rondônia",0,37,8,5,788,1.74
"Rondônia",0,29,8,11,788,1.72
"Rondônia",0,37,8,14,9166,1.59
"Rondônia",0,60,8,5,800,1.6
"Rondônia",0,41,8,9,1800,1.74
"Rondônia",0,53,8,5,2000,1.76
"Rondônia",0,28,4,16,1200,1.6
"Rondônia",1,46,4,6,830,1.74
"Rondônia",0,53,4,4,1500,1.65
"Rondônia",0,51,8,7,1500,1.72
"Rondônia",0,36,4,12,1500,1.6
"Rondônia",1,40,8,12,1200,1.8
"Rondônia",0,45,2,9,2000,1.73
"Rondônia",0,31,8,12,2930,1.73
"Rondônia",0,53,2,12,4000,1.74
"Rondônia",1,36,8,12,788,1.6
"Rondônia",1,36,2,12,2000,1.72
"Rondônia",1,25,8,16,3000,1.69
"Rondônia",0,57,2,7,1024,1.87
"Rondônia",0,45,8,5,1180,1.74
"Rondônia",1,25,8,10,1024,1.67
"Rondônia",1,56,8,9,1500,1.66
"Rondônia",0,51,8,5,1500,1.74
"Rondônia",0,52,2,6,2000,1.74
"Rondônia",1,36,8,12,4000,1.67
"Rondônia",0,47,4,5,1200,1.79
"Rondônia",0,41,2,4,1200,1.64
"Rondônia",0,36,8,10,876,1.67
"Rondônia",0,65,2,1,1200,1.74
"Rondônia",1,28,8,7,788,1.72
"Rondônia",1,35,8,6,1050,1.71
"Rondônia",0,44,4,1,1300,1.63
"Rondônia",1,28,4,16,1300,1.67
"Rondônia",0,55,2,5,1300,1.67
"Rondônia",0,30,2,11,1100,1.73
"Rondônia",0,52,8,5,2000,1.75
"Rondônia",1,35,8,12,924,1.69
"Rondônia",1,33,2,14,1300,1.69
"Rondônia",1,53,8,5,950,1.73
"Rondônia",0,45,8,2,1300,1.61
"Rondônia",0,28,8,16,1100,1.65
"Rondônia",0,52,4,1,1500,1.62
"Rondônia",0,57,8,7,500,1.7
"Rondônia",0,64,8,12,3500,1.73
"Rondônia",0,18,2,6,850,1.66
"Rondônia",1,29,8,10,150,1.85
"Rondônia",0,30,4,12,2300,1.83
"Rondônia",0,53,2,2,950,1.72
"Rondônia",1,40,2,5,0,1.52
"Rondônia",0,66,2,3,0,1.58
"Rondônia",0,79,2,1,0,1.7
"Rondônia",0,61,8,4,0,1.5
"Rondônia",0,30,2,6,1000,1.78
"Rondônia",1,57,2,5,0,1.86
"Rondônia",0,59,2,9,2200,1.67
"Rondônia",0,57,2,9,788,1.74
"Rondônia",1,54,2,5,0,1.68
"Rondônia",0,40,8,4,2000,1.89
"Rondônia",1,35,8,16,2800,1.65
"Rondônia",1,53,8,9,800,1.64
"Rondônia",1,27,8,12,1500,1.82
"Rondônia",1,39,8,5,900,1.65
"Rondônia",1,43,8,5,500,1.81
"Rondônia",0,49,2,9,2100,1.69
"Rondônia",1,48,8,5,600,1.77
"Rondônia",1,41,8,8,1100,1.67
"Rondônia",0,45,8,5,2000,1.65
"Rondônia",0,18,8,6,1300,1.6
"Rondônia",1,44,8,9,788,1.8
"Rondônia",0,45,8,4,1800,1.82
"Rondônia",0,76,8,1,700,1.67
"Rondônia",0,48,8,5,1800,1.56
"Rondônia",0,45,4,11,1100,1.67
